Title	URL	Abstract views	PDF views	Original submission	Current submission
Copy number variants in the sheep genome detected using multiple approaches	http://biorxiv.org/content/early/2016/02/26/041475	131	10	2016_02_26	2016_02_26
Productive infection of field strains of avian coronavirus infectious bronchitis virus in chicken peripheral blood-derived monocyte	http://biorxiv.org/content/early/2016/02/26/041558	NA	NA	2016_02_26	2016_02_26
Recurrent selection explains genomic regions of high relative but low absolute differentiation in the greenish warbler ring species	http://biorxiv.org/content/early/2016/02/26/041467	321	14	2016_02_26	2016_02_26
A watershed model of individual differences in fluid intelligence	http://biorxiv.org/content/early/2016/02/26/041368	70	3	2016_02_26	2016_02_26
Generation of mutation hotspots in ageing bacterial colonies	http://biorxiv.org/content/early/2016/02/26/041525	161	8	2016_02_26	2016_02_26
VcfR: an R package to manipulate and visualize VCF format data	http://biorxiv.org/content/early/2016/02/26/041277	570	102	2016_02_26	2016_02_26
The Genetic Architecture of Quantitative Traits Cannot Be Inferred From Variance Component Analysis	http://biorxiv.org/content/early/2016/02/26/041434	714	106	2016_02_26	2016_02_26
The architecture of the human RNA-binding protein regulatory network	http://biorxiv.org/content/early/2016/02/26/041426	276	45	2016_02_26	2016_02_26
An open library of human kinase domain constructs for automated bacterial expression	http://biorxiv.org/content/early/2016/02/25/038711	428	65	2016_02_3	2016_02_25
Histone H1 limits DNA methylation in Neurospora crassa	http://biorxiv.org/content/early/2016/02/25/041285	318	42	2016_02_25	2016_02_25
The long-term sand crab study: phenology, geographic size variation, and a rare new colour morph in Lepidopa benedicti (Decapoda: Albuneidae)	http://biorxiv.org/content/early/2016/02/25/041376	143	12	2016_02_25	2016_02_25
Type 2 Diabetes Risk Prediction Incorporating Family History Revealing a Substantial Fraction of Missing Heritability	http://biorxiv.org/content/early/2016/02/25/041335	176	19	2016_02_25	2016_02_25
Modeling cumulative biological phenomena with Suppes-Bayes causal networks	http://biorxiv.org/content/early/2016/02/25/041343	219	34	2016_02_25	2016_02_25
South Asia as a reservoir for the global spread of ciprofloxacin resistant Shigella sonnei	http://biorxiv.org/content/early/2016/02/25/041327	167	9	2016_02_25	2016_02_25
Horizontally transferred gene clusters in E. coli match size expectations from uber-operons	http://biorxiv.org/content/early/2016/02/25/041418	236	14	2016_02_25	2016_02_25
Atomic structure of Hsp90:Cdc37:Cdk4 reveals Hsp90 regulates kinase via dramatic unfolding	http://biorxiv.org/content/early/2016/02/25/040907	784	286	2016_02_23	2016_02_25
Tetraeffective causes of mortality and survivorship	http://biorxiv.org/content/early/2016/02/25/039438	670	233	2016_02_24	2016_02_25
How reliable are ligand-centric methods for Target Fishing?	http://biorxiv.org/content/early/2016/02/25/032946	137	9	2015_11_26	2016_02_25
MicroScope: comprehensive genome analysis software suite for gene expression heatmaps	http://biorxiv.org/content/early/2016/02/25/034694	451	107	2016_01_5	2016_02_25
HacDivSel: Two new methods (haplotype-based and outlier-based) for the detection of divergent selection in pairs of populations of non-model species	http://biorxiv.org/content/early/2016/02/25/026369	252	52	2015_10_24	2016_02_25
A Powerful Procedure for Pathway-based Meta-Analysis Using Summary Statistics Identifies 43 Pathways Associated with Type II Diabetes in European Populations	http://biorxiv.org/content/early/2016/02/24/041244	303	38	2016_02_24	2016_02_24
Reassessment of Mendelian gene pathogenicity using 7,855 cardiomyopathy cases and 60,706 reference samples	http://biorxiv.org/content/early/2016/02/24/041111	1067	232	2016_02_24	2016_02_24
NextflowWorkbench: Reproducible and Reusable Workflows for Beginners and Experts	http://biorxiv.org/content/early/2016/02/24/041236	978	115	2016_02_24	2016_02_24
The foraging brain: evidence of Levy dynamics in brain networks	http://biorxiv.org/content/early/2016/02/24/041202	146	91	2016_02_24	2016_02_24
Multiscale simulations reveal key features of the proton pumping mechanism in cytochrome c oxidase	http://biorxiv.org/content/early/2016/02/24/040717.1	222	37	2016_02_24	2016_02_24
Ecological factors rather than barriers to dispersal shape genetic structure of algal symbionts in horizontally-transmitting corals	http://biorxiv.org/content/early/2016/02/24/037994.1	659	61	2016_02_24	2016_02_24
Inhibitory control of shared variability in cortical networks	http://biorxiv.org/content/early/2016/02/24/041103.1	313	92	2016_02_24	2016_02_24
Functional Genetic Screen to Identify Interneurons Governing Behaviorally Distinct Aspects of Drosophila Larval Motor Programs	http://biorxiv.org/content/early/2016/02/24/041061	215	59	2016_02_24	2016_02_24
Cortical feedback to V1 and V2 contains unique information about high-level scene structure.	http://biorxiv.org/content/early/2016/02/24/041186	267	46	2016_02_24	2016_02_24
Cellular aspects of gonadal atrophy in P-M hybrid dysgenesis	http://biorxiv.org/content/early/2016/02/24/041178	136	5	2016_02_24	2016_02_24
foxc1a genetically interacts with ripply1 to regulate mesp-ba expression and somitogenesis in the zebrafish embryo	http://biorxiv.org/content/early/2016/02/24/041012	243	22	2016_02_23	2016_02_24
Accurate promoter and enhancer identification in 127 ENCODE and Roadmap Epigenomics cell types and tissues by GenoSTAN	http://biorxiv.org/content/early/2016/02/24/041020	926	218	2016_02_23	2016_02_24
Focused Ultrasound Enhances Decision-Making in Monkeys	http://biorxiv.org/content/early/2016/02/23/041152	325	57	2016_02_23	2016_02_23
Predicting intensities of Zika infection and microcephaly using transmission intensities of other arboviruses	http://biorxiv.org/content/early/2016/02/23/041095	488	114	2016_02_23	2016_02_23
Effectors and potential targets selectively upregulated in human KRAS mutant lung adenocarcinomas	http://biorxiv.org/content/early/2016/02/23/041137	238	15	2016_02_23	2016_02_23
Natural selection driven by DNA binding proteins shapes genome-wide motif statistics	http://biorxiv.org/content/early/2016/02/23/041145	604	79	2016_02_23	2016_02_23
Transethnic genetic correlation estimates from summary statistics	http://biorxiv.org/content/early/2016/02/23/036657	434	184	2016_01_14	2016_02_23
SNP-based heritability estimation: measurement noise, population stratification and stability	http://biorxiv.org/content/early/2016/02/23/040055	1684	510	2016_02_21	2016_02_23
The role of isoforms in the evolution of cryptic coloration in Peromyscus mice	http://biorxiv.org/content/early/2016/02/23/041087	709	58	2016_02_23	2016_02_23
Extrusions promote engulfment and Chlamydia survival within macrophages	http://biorxiv.org/content/early/2016/02/23/041079	224	121	2016_02_23	2016_02_23
A contribution of novel CNVs to schizophrenia from a genome-wide study of 41,321 subjects	http://biorxiv.org/content/early/2016/02/23/040493	690	157	2016_02_23	2016_02_23
Identification and qualification of 500 nuclear, single-copy, orthologous genes for the Eupulmonata (Gastropoda) using transcriptome sequencing and exon-capture	http://biorxiv.org/content/early/2016/02/23/035543	190	9	2016_02_23	2016_02_23
Pooled enrichment sequencing identifies diversity and evolutionary pressures at NLR resistance genes within a wild tomato population.	http://biorxiv.org/content/early/2016/02/23/040998	206	35	2016_02_23	2016_02_23
Transcriptional pulsing of a nucleolar transgene	http://biorxiv.org/content/early/2016/02/23/040956	314	57	2016_02_23	2016_02_23
On the regulator of spike activity in cortical neurons under hypothermic conditions	http://biorxiv.org/content/early/2016/02/23/041004	111	12	2016_02_23	2016_02_23
Coarse-grained simulation reveals key features of HIV-1 capsid self-assembly	http://biorxiv.org/content/early/2016/02/23/040741	166	26	2016_02_23	2016_02_23
Eco-evolutionary buffering: rapid evolution facilitates regional coexistence of species engaged in local priority effects	http://biorxiv.org/content/early/2016/02/23/040659	228	31	2016_02_23	2016_02_23
Exploitation by cheaters facilitates the preservation of essential public goods in microbial communities	http://biorxiv.org/content/early/2016/02/23/040964	365	54	2016_02_23	2016_02_23
Genetic redundancies enhance information transfer in noisy regulatory circuits	http://biorxiv.org/content/early/2016/02/23/040931	223	40	2016_02_23	2016_02_23
Bayesian Inference of the Evolution of a Phenotype Distribution on a Phylogenetic Tree	http://biorxiv.org/content/early/2016/02/23/040980	594	105	2016_02_23	2016_02_23
A new advanced backcross tomato population enables high resolution leaf QTL mapping and gene identification	http://biorxiv.org/content/early/2016/02/23/040923	543	52	2016_02_23	2016_02_23
Interplay between copy number, dosage compensation and expression noise in Drosophila	http://biorxiv.org/content/early/2016/02/23/041038	274	47	2016_02_23	2016_02_23
Cortical idiosyncrasies predict the perception of object size	http://biorxiv.org/content/early/2016/02/23/026989	297	70	2015_10_23	2016_02_23
4C-ker: A method to reproducibly identify genome-wide interactions captured by 4C-Seq experiments	http://biorxiv.org/content/early/2016/02/23/030569	291	100	2015_11_3	2016_02_23
Topology, cross-frequency, and same-frequency band interactions shape the generation of phase-amplitude coupling in a neural mass model of a cortical column	http://biorxiv.org/content/early/2016/02/23/023291	132	26	2015_07_27	2016_02_23
Hybrid dysgenesis in Drosophila simulans associated with a rapid global invasion of the P-element	http://biorxiv.org/content/early/2016/02/23/031781	349	46	2015_11_14	2016_02_23
Bayesian analysis of normal mouse cell lineage trees allowing intra-individual, cell population specific mutation rates	http://biorxiv.org/content/early/2016/02/22/040733	258	22	2016_02_22	2016_02_22
AC-PCA adjusts for confounding variation in transcriptome data and recovers the anatomical structure of neocortex	http://biorxiv.org/content/early/2016/02/22/040485	486	70	2016_02_22	2016_02_22
BuddySuite: Command-line toolkits for manipulating sequences, alignments, and phylogenetic trees	http://biorxiv.org/content/early/2016/02/22/040675	835	88	2016_02_22	2016_02_22
eQTL in a Precisely Defined Tomato Introgression Population Reveal Genetic Regulation of Gene Expression Patterns Related to Physiological and Developmental Pathways	http://biorxiv.org/content/early/2016/02/22/040592	635	49	2016_02_22	2016_02_22
Integrating genomics into clinical pediatric oncology using the molecular tumor board at the Memorial Sloan Kettering Cancer Center	http://biorxiv.org/content/early/2016/02/22/040584	598	96	2016_02_22	2016_02_22
Genome-culture coevolution promotes rapid divergence in the killer whale	http://biorxiv.org/content/early/2016/02/22/040295	1214	253	2016_02_22	2016_02_22
Analytical results for directional and quadratic selection gradients for log-linear models of fitness functions	http://biorxiv.org/content/early/2016/02/22/040618	244	46	2016_02_22	2016_02_22
Experimental evolution of modern Escherichia coli harboring an ancient Elongation Factor gene	http://biorxiv.org/content/early/2016/02/22/040626	675	100	2016_02_22	2016_02_22
Explaining Missing Heritability Using Gaussian Process Regression	http://biorxiv.org/content/early/2016/02/22/040576	456	136	2016_02_22	2016_02_22
CAGEd-oPOSSUM: motif enrichment analysis from CAGE-derived TSSs	http://biorxiv.org/content/early/2016/02/22/040667	429	58	2016_02_22	2016_02_22
The molecular chaperone DnaK accelerates protein evolution	http://biorxiv.org/content/early/2016/02/22/040600	513	77	2016_02_22	2016_02_22
Boiler: Lossy compression of RNA-seq alignments using coverage vectors	http://biorxiv.org/content/early/2016/02/22/040634	1144	140	2016_02_22	2016_02_22
Kronos: a workflow assembler for genome analytics and informatics	http://biorxiv.org/content/early/2016/02/22/040352	1264	268	2016_02_19	2016_02_22
PARAQUAT TOLERANCE3 is an E3 ligase and acts as a negative regulator of oxidative stress response	http://biorxiv.org/content/early/2016/02/22/040543	149	28	2016_02_22	2016_02_22
The non-essentiality of essential genes suggests a loss-of-function therapeutic strategy for loss-of-function human diseases	http://biorxiv.org/content/early/2016/02/22/040568	368	98	2016_02_22	2016_02_22
Sequence element enrichment analysis to determine the genetic basis of bacterial phenotypes	http://biorxiv.org/content/early/2016/02/22/038463	1186	345	2016_02_2	2016_02_22
Hilbert-Schmidt and Sobol sensitivity indices for static and time series Wnt signaling measurements in colorectal cancer	http://biorxiv.org/content/early/2016/02/22/035519	152	31	2016_02_20	2016_02_22
Core variability in substitution rates and the basal sequence characteristics of the human genome	http://biorxiv.org/content/early/2016/02/22/024257	880	203	2015_08_10	2016_02_22
Declaring a tuberculosis outbreak over with genomic epidemiology	http://biorxiv.org/content/early/2016/02/22/040527	960	110	2016_02_22	2016_02_22
Evolution of HIV virulence in response to widespread scale up of antiretroviral therapy: a modeling study	http://biorxiv.org/content/early/2016/02/21/039560.1	440	31	2016_02_21	2016_02_21
The Next Generation Precision Medical Record - A Framework for Integrating Genomes and Wearable Sensors with Medical Records	http://biorxiv.org/content/early/2016/02/21/039651	1691	518	2016_02_18	2016_02_21
Microarray analysis identifies malignant field signatures in biopsy samples at diagnosis predicting the likelihood of lethal disease in patients with localized Gleason 6 and 7 prostate cancer.	http://biorxiv.org/content/early/2016/02/21/040519	256	23	2016_02_21	2016_02_21
Population scale mapping of novel transposable element diversity reveals links to gene regulation and epigenomic variation	http://biorxiv.org/content/early/2016/02/21/039511	1678	331	2016_02_11	2016_02_21
Enabling the democratization of the genomics revolution with a fully integrated web-based bioinformatics platform	http://biorxiv.org/content/early/2016/02/21/040477	1480	309	2016_02_21	2016_02_21
Arabidopsis ATHB17 coordinates nuclear and plastidic photosynthesis gene expression in response to abiotic stress	http://biorxiv.org/content/early/2016/02/21/040501	260	38	2016_02_21	2016_02_21
In-silico analysis of MHC genes in hereditary colorectal cancer shows identical by state SNP sharing affecting HLA-DQB1 binding groove	http://biorxiv.org/content/early/2016/02/21/040436	239	25	2016_02_21	2016_02_21
Identifying Network Perturbation in Cancer	http://biorxiv.org/content/early/2016/02/21/040394	328	93	2016_02_21	2016_02_21
Aging shapes the population-mean and -dispersion of gene expression in human brains	http://biorxiv.org/content/early/2016/02/20/039933	764	183	2016_02_17	2016_02_20
An ecological assessment of the pandemic threat of Zika virus	http://biorxiv.org/content/early/2016/02/19/040386	759	160	2016_02_19	2016_02_19
Single-chromosome aneuploidy commonly functions as a tumor suppressor	http://biorxiv.org/content/early/2016/02/19/040162	504	106	2016_02_19	2016_02_19
CRISPR-directed mitotic recombination enables genetic mapping without crosses	http://biorxiv.org/content/early/2016/02/19/040428	4214	953	2016_02_19	2016_02_19
Metaproteomics reveals biomarkers of system collapse in a dynamic aquatic ecosystem	http://biorxiv.org/content/early/2016/02/19/040402	281	46	2016_02_19	2016_02_19
Distinct stages in the recognition, sorting and packaging of proTGFα into COPII coated transport vesicles	http://biorxiv.org/content/early/2016/02/19/040410	432	109	2016_02_19	2016_02_19
A universal model for carbon dioxide uptake by plants	http://biorxiv.org/content/early/2016/02/19/040246	266	89	2016_02_19	2016_02_19
StrainSeeker: fast identification of bacterial strains from unassembled sequencing reads using user-provided guide trees.	http://biorxiv.org/content/early/2016/02/19/040261	702	69	2016_02_19	2016_02_19
ZIKA - How Fast Does This Virus Mutate ?	http://biorxiv.org/content/early/2016/02/19/040303	735	245	2016_02_19	2016_02_19
The case for a dynamical subsurface ecosystem	http://biorxiv.org/content/early/2016/02/19/040204	486	55	2016_02_19	2016_02_19
Evaluation of Techniques for Performing Cellular Isolation and Preservation during Microgravity Conditions	http://biorxiv.org/content/early/2016/02/19/040014	141	12	2016_02_19	2016_02_19
Do persistent rare species experience stronger negative frequency dependence than common species?	http://biorxiv.org/content/early/2016/02/19/040360	221	37	2016_02_19	2016_02_19
Macroevolutionary trade-offs in plant-feeding insects	http://biorxiv.org/content/early/2016/02/19/040311	224	59	2016_02_19	2016_02_19
MetaCycle: an integrated R package to evaluate periodicity in large scale data	http://biorxiv.org/content/early/2016/02/19/040345	406	88	2016_02_19	2016_02_19
variancePartition: Interpreting drivers of variation in complex gene expression studies	http://biorxiv.org/content/early/2016/02/19/040170	492	110	2016_02_19	2016_02_19
Rigidity of silicone substrates controls cell spreading and stem cell differentiation	http://biorxiv.org/content/early/2016/02/19/040048	138	20	2016_02_19	2016_02_19
Stochastic processes dominate community assembly in cichlid communities in Lake Tanganyika	http://biorxiv.org/content/early/2016/02/19/039503	474	177	2016_02_12	2016_02_19
Genetic regulation of transcriptional variation in natural Arabidopsis thaliana accessions	http://biorxiv.org/content/early/2016/02/19/037077	385	96	2016_01_18	2016_02_19
Comparative analysis of single-cell RNA-sequencing methods	http://biorxiv.org/content/early/2016/02/19/035758	2216	1224	2016_01_5	2016_02_19
The reported healthy ageing gene expression score: lack of association in two cohorts	http://biorxiv.org/content/early/2016/02/19/034058	571	109	2015_12_9	2016_02_19
Y-box protein 1 is required to sort microRNAs into exosomes in cells and in a cell-free reaction	http://biorxiv.org/content/early/2016/02/18/040238	1278	253	2016_02_18	2016_02_18
High-resolution maps of hunter-gatherer social networks reveal human adaptation for cultural exchange	http://biorxiv.org/content/early/2016/02/18/040154	340	96	2016_02_18	2016_02_18
Reconstruction of ancestral genomes in presence of gene gain and loss.	http://biorxiv.org/content/early/2016/02/18/040196	664	64	2016_02_18	2016_02_18
Sentinel versus passive surveillance for measuring changes in dengue incidence: Evidence from three concurrent surveillance systems in Iquitos, Peru	http://biorxiv.org/content/early/2016/02/18/040220	223	30	2016_02_18	2016_02_18
Non-homologous DNA increases gene disruption efficiency by altering DNA repair outcomes	http://biorxiv.org/content/early/2016/02/18/040212	433	92	2016_02_18	2016_02_18
Conserved gene clusters in the scrambled plastomes of IRLC legumes (Fabaceae: Trifolieae and Fabeae).	http://biorxiv.org/content/early/2016/02/18/040188	167	8	2016_02_18	2016_02_18
